,metal,ox,uhf
0,La,3,0
1,Ce,3,1
2,Ce,4,0
3,Pr,3,2
4,Nd,3,3
5,Sm,3,5
6,Eu,2,7
7,Eu,3,6
8,Gd,3,7
9,Tb,3,6
10,Dy,3,5
11,Ho,3,4
12,Er,3,3
13,Tm,3,2
14,Yb,3,1
15,Lu,3,0
16,Li,1,0
17,Be,2,0
18,Na,1,0
19,Mg,2,0
20,K,1,0
21,Ca,2,0
22,Rb,1,0
23,Sr,2,0
24,Cs,1,0
25,Ba,2,0
26,Al,3,0
27,Ga,3,0
28,In,3,0
29,Sn,2,0
30,Sn,4,0
31,Tl,1,0
32,Tl,3,0
33,Pb,2,0
34,Pb,4,0
35,Bi,3,0
36,Sc,3,0
37,Ti,2,2
38,Ti,3,1
39,Ti,4,0
40,V,2,3
41,V,3,2
42,V,4,1
43,V,5,0
44,Cr,2,4
45,Cr,3,3
46,Cr,6,0
47,Mn,2,5
48,Mn,3,4
49,Mn,4,3
50,Mn,6,1
51,Mn,7,0
52,Fe,2,4
53,Fe,3,5
54,Co,2,3
55,Co,3,4
56,Ni,2,2
57,Cu,1,0
58,Cu,2,1
59,Zn,2,0
60,Y,3,0
61,Zr,4,0
62,Nb,5,0
63,Mo,4,2
64,Mo,6,0
65,Tc,4,3
66,Tc,7,0
67,Ru,3,5
68,Ru,4,4
69,Rh,3,4
70,Pd,0,0
71,Pd,2,2
72,Pd,4,4
73,Ag,1,0
74,Cd,2,0
75,Hf,4,0
76,Ta,5,0
77,W,4,2
78,W,6,0
79,Re,4,3
80,Re,7,0
81,Os,4,4
82,Ir,3,4
83,Ir,4,5
84,Pt,2,2
85,Pt,4,4
86,Au,1,0
87,Au,3,2
88,Hg,1,1
89,Hg,2,0
90,Pm,3,4
